cardTotal, count, Alpha(true), Alpha(false), 
4, -17, 53.931825632724326, 46.068174367275674, 
4, -16, 50.0, 50.0, 
4, -14, 57.78342270190136, 42.21657729809864, 
4, -13, 61.549646857296736, 38.450353142703264, 
4, -12, 92.64826024339041, 7.3517397566095894, 
4, -11, 99.15263304397904, 0.8473669560209629, 
4, -10, 100.0, 0.0, 
4, -9, 100.0, 0.0, 
4, -8, 100.0, 0.0, 
4, -7, 100.0, 0.0, 
4, -6, 100.0, 0.0, 
4, -5, 100.0, 0.0, 
4, -4, 100.0, 0.0, 
4, -3, 100.0, 0.0, 
4, -2, 100.0, 0.0, 
4, -1, 100.0, 0.0, 
4, 0, 100.0, 0.0, 
4, 1, 100.0, 0.0, 
4, 2, 100.0, 0.0, 
4, 3, 100.0, 0.0, 
4, 4, 100.0, 0.0, 
4, 5, 100.0, 0.0, 
4, 6, 100.0, 0.0, 
4, 7, 100.0, 0.0, 
4, 8, 100.0, 0.0, 
4, 9, 100.0, 0.0, 
4, 10, 100.0, 0.0, 
4, 11, 100.0, 0.0, 
4, 12, 99.76639440224702, 0.23360559775298384, 
4, 13, 81.96231609741528, 18.037683902584718, 
4, 14, 65.22468985620137, 34.775310143798634, 
4, 15, 68.80194785089488, 31.198052149105123, 
4, 16, 57.78342270190136, 42.21657729809864, 
4, 17, 57.78342270190136, 42.21657729809864, 
4, 18, 53.931825632724326, 46.068174367275674, 
5, -16, 61.549646857296736, 38.450353142703264, 
5, -15, 65.22468985620137, 34.775310143798634, 
5, -14, 75.63166153448881, 24.368338465511187, 
5, -13, 94.77073011463546, 5.229269885364545, 
5, -12, 100.0, 0.0, 
5, -11, 100.0, 0.0, 
5, -10, 100.0, 0.0, 
5, -9, 100.0, 0.0, 
5, -8, 100.0, 0.0, 
5, -7, 100.0, 0.0, 
5, -6, 100.0, 0.0, 
5, -5, 100.0, 0.0, 
5, -4, 100.0, 0.0, 
5, -3, 100.0, 0.0, 
5, -2, 100.0, 0.0, 
5, -1, 100.0, 0.0, 
5, 0, 100.0, 0.0, 
5, 1, 100.0, 0.0, 
5, 2, 100.0, 0.0, 
5, 3, 100.0, 0.0, 
5, 4, 100.0, 0.0, 
5, 5, 100.0, 0.0, 
5, 6, 100.0, 0.0, 
5, 7, 100.0, 0.0, 
5, 8, 100.0, 0.0, 
5, 9, 100.0, 0.0, 
5, 10, 100.0, 0.0, 
5, 11, 100.0, 0.0, 
5, 12, 100.0, 0.0, 
5, 13, 100.0, 0.0, 
5, 14, 100.0, 0.0, 
5, 15, 84.90873647560748, 15.091263524392517, 
5, 16, 84.90873647560748, 15.091263524392517, 
5, 17, 61.549646857296736, 38.450353142703264, 
5, 18, 57.78342270190136, 42.21657729809864, 
5, 19, 50.0, 50.0, 
5, 20, 53.931825632724326, 46.068174367275674, 
6, -18, 53.931825632724326, 46.068174367275674, 
6, -17, 57.78342270190136, 42.21657729809864, 
6, -16, 57.78342270190136, 42.21657729809864, 
6, -15, 68.80194785089488, 31.198052149105123, 
6, -14, 75.63166153448881, 24.368338465511187, 
6, -13, 100.0, 0.0, 
6, -12, 100.0, 0.0, 
6, -11, 100.0, 0.0, 
6, -10, 100.0, 0.0, 
6, -9, 100.0, 0.0, 
6, -8, 100.0, 0.0, 
6, -7, 100.0, 0.0, 
6, -6, 100.0, 0.0, 
6, -5, 100.0, 0.0, 
6, -4, 100.0, 0.0, 
6, -3, 100.0, 0.0, 
6, -2, 100.0, 0.0, 
6, -1, 100.0, 0.0, 
6, 0, 100.0, 0.0, 
6, 1, 100.0, 0.0, 
6, 2, 100.0, 0.0, 
6, 3, 100.0, 0.0, 
6, 4, 100.0, 0.0, 
6, 5, 100.0, 0.0, 
6, 6, 100.0, 0.0, 
6, 7, 100.0, 0.0, 
6, 8, 100.0, 0.0, 
6, 9, 100.0, 0.0, 
6, 10, 100.0, 0.0, 
6, 11, 100.0, 0.0, 
6, 12, 100.0, 0.0, 
6, 13, 100.0, 0.0, 
6, 14, 100.0, 0.0, 
6, 15, 96.59998924720671, 3.4000107527932926, 
6, 16, 96.59998924720671, 3.4000107527932926, 
6, 17, 65.22468985620137, 34.775310143798634, 
6, 18, 72.27385380935169, 27.726146190648308, 
6, 19, 53.931825632724326, 46.068174367275674, 
6, 23, 50.0, 50.0, 
7, -18, 50.0, 50.0, 
7, -16, 53.931825632724326, 46.068174367275674, 
