#Games played, #games won, #chips won, 
0, 290, -1441.0, 
1000, 573, -2686.5, 
2000, 864, -3872.5, 
3000, 1169, -5083.0, 
4000, 1444, -6465.0, 
5000, 1706, -7712.5, 
6000, 2009, -8841.5, 
7000, 2293, -10042.0, 
8000, 2593, -11302.0, 
9000, 2882, -12406.5, 
10000, 3162, -13700.0, 
11000, 3457, -14781.5, 
12000, 3758, -16088.5, 
13000, 4065, -17309.0, 
14000, 4348, -18581.5, 
15000, 4620, -20087.0, 
16000, 4886, -21339.5, 
17000, 5164, -22415.0, 
18000, 5447, -23656.5, 
19000, 5748, -24587.0, 
20000, 6023, -25799.0, 
21000, 6304, -27277.5, 
22000, 6587, -28346.0, 
23000, 6876, -29593.0, 
24000, 7189, -30959.0, 
25000, 7485, -32093.5, 
26000, 7761, -33250.5, 
27000, 8036, -34536.0, 
28000, 8326, -35795.5, 
29000, 8625, -36732.0, 
30000, 8911, -37863.5, 
31000, 9198, -39284.0, 
32000, 9506, -40525.5, 
33000, 9791, -41787.5, 
34000, 10093, -42910.0, 
35000, 10405, -44062.0, 
36000, 10709, -45167.0, 
37000, 11017, -46224.5, 
38000, 11272, -47457.0, 
39000, 11527, -48839.5, 
40000, 11815, -50250.0, 
41000, 12112, -51344.0, 
42000, 12416, -52511.0, 
43000, 12711, -53745.0, 
44000, 13005, -54803.0, 
45000, 13298, -56054.5, 
46000, 13584, -57523.5, 
47000, 13868, -58873.5, 
48000, 14154, -60161.0, 
49000, 14421, -61596.0, 
50000, 14693, -63016.5, 
51000, 14995, -64104.0, 
52000, 15282, -65268.5, 
53000, 15590, -66422.0, 
54000, 15878, -67679.5, 
55000, 16198, -68631.0, 
56000, 16449, -70189.0, 
57000, 16732, -71621.0, 
58000, 16999, -72854.5, 
59000, 17287, -74181.5, 
60000, 17582, -75514.5, 
61000, 17865, -76755.5, 
62000, 18152, -77961.5, 
63000, 18451, -79313.5, 
64000, 18748, -80333.0, 
65000, 19045, -81554.0, 
66000, 19304, -82784.0, 
67000, 19573, -84168.5, 
68000, 19840, -85390.0, 
69000, 20145, -86404.0, 
70000, 20417, -87795.5, 
71000, 20716, -89032.5, 
72000, 20997, -90163.5, 
73000, 21266, -91241.0, 
74000, 21553, -92549.5, 
